transaction_id,date,total_sales,total_expenses,profit,location
4783433,2/1/2022,5603.11,464.81,5138.3,Miami
5630078,6/15/2022,7026.38,1504.78,5521.6,Chicago
8789725,6/8/2022,9699.86,4488.15,5211.71,Chicago
2159305,2/1/2022,4567.61,4357.95,209.66,Chicago
3130083,10/8/2022,6339.14,814.38,5524.76,Chicago
9455362,11/23/2022,4934.72,1559.68,3375.04,Chicago
4469182,1/20/2022,3913.75,701.69,3212.06,Chicago
5631540,10/20/2022,3208.93,3688.54,-479.61,Los Angeles
8083915,11/15/2022,653.59,1361.84,-708.25,Miami
4266279,9/18/2022,2092.45,3965.75,-1873.3,Los Angeles
9530115,11/10/2022,2473.0,4537.5,-2064.5,Miami
7992299,5/5/2022,700.44,1762.21,-1061.77,Miami
1000370,8/28/2022,6116.0,687.54,5428.46,Chicago
7502736,6/11/2022,4129.98,2285.8,1844.18,Los Angeles
3293240,5/17/2022,1824.52,2400.47,-575.95,Chicago
9098456,2/8/2022,1974.08,285.66,1688.42,Chicago
2385029,6/1/2022,2827.04,4649.84,-1822.8,New York
2731122,7/1/2022,3695.74,3269.81,425.93,New York
2448320,12/26/2022,5322.25,2780.71,2541.54,Los Angeles
2832833,4/11/2022,8269.52,4926.47,3343.05,Miami
0418256,6/11/2022,4087.81,4738.53,-650.72,Chicago
9627002,4/22/2022,409.24,1803.36,-1394.12,New York
6316372,6/10/2022,8691.71,776.14,7915.57,Miami
9896063,5/15/2022,6427.44,4409.93,2017.51,Los Angeles
1738434,5/28/2022,4402.03,4006.2,395.83,New York
6827211,8/30/2022,7747.2,1810.47,5936.73,Miami
6020383,4/5/2022,2228.19,4065.89,-1837.7,Chicago
7253341,4/24/2022,5125.69,1735.99,3389.7,Chicago
4587559,4/23/2022,4955.35,1007.2,3948.15,Miami
2583832,6/7/2022,2722.71,4379.54,-1656.83,New York
1441467,4/16/2022,3598.15,4504.19,-906.04,Los Angeles
8352590,6/19/2022,3766.08,244.29,3521.79,Miami
8803642,10/22/2022,2530.98,964.49,1566.49,Los Angeles
7900912,10/3/2022,8582.16,3871.99,4710.17,Miami
8562706,12/27/2022,3913.89,3318.07,595.82,New York
1422804,12/15/2022,7575.67,2860.03,4715.64,Miami
7835218,1/30/2022,1310.3,2789.53,-1479.23,Chicago
4025820,3/6/2022,5366.69,4210.68,1156.01,Los Angeles
7099390,9/2/2022,2366.59,4882.76,-2516.17,Los Angeles
1395356,12/12/2022,9890.71,2731.58,7159.13,New York
9842796,2/25/2022,2776.85,1430.63,1346.22,Chicago
7536967,5/11/2022,328.13,4205.93,-3877.8,Miami
0442157,12/4/2022,627.4,3638.39,-3010.99,Miami
1778022,1/12/2022,9870.77,4526.24,5344.53,Miami
5792025,11/25/2022,5031.3,1689.53,3341.77,Chicago
0209631,7/27/2022,2053.52,4296.7,-2243.18,Miami
1263610,4/30/2022,409.41,4450.47,-4041.06,New York
