transaction_id,date,total_sales,total_expenses,profit,location
1928299,3/28/2022,9983.2,3310.79,6672.41,Chicago
5637317,12/19/2022,9751.34,3827.48,5923.86,New York
0774025,5/3/2022,8590.2,4150.28,4439.92,New York
6037101,11/27/2022,1731.18,4674.21,-2943.03,New York
5469881,9/26/2022,9674.64,4607.27,5067.37,Los Angeles
1110951,6/2/2022,6577.71,535.68,6042.03,New York
4828484,9/10/2022,7732.44,1957.29,5775.15,New York
3046060,3/25/2022,1042.91,1155.98,-113.07,Los Angeles
5605777,6/21/2022,8214.98,66.02,8148.96,Los Angeles
1416024,9/29/2022,3108.65,1084.79,2023.86,Miami
4703069,7/1/2022,2071.78,4509.46,-2437.68,Chicago
3602646,8/31/2022,9171.56,594.29,8577.27,Miami
1337902,6/26/2022,1894.67,2394.15,-499.48,New York
1144883,8/11/2022,4203.6,836.31,3367.29,Los Angeles
1726939,12/12/2022,7818.24,226.83,7591.41,Miami
3540269,6/25/2022,9418.53,3028.04,6390.49,Chicago
1780753,10/25/2022,6111.36,4921.94,1189.42,New York
4005965,1/16/2022,2649.02,1531.57,1117.45,Chicago
9918906,10/13/2022,3505.47,547.54,2957.93,Chicago
8176807,9/3/2022,2133.05,1867.61,265.44,Miami
1212706,2/22/2022,8213.07,3147.64,5065.43,Chicago
4136079,3/24/2022,7619.88,3031.12,4588.76,Miami
8001244,3/1/2022,4629.07,2679.9,1949.17,New York
2420739,9/14/2022,3969.93,2870.94,1098.99,Miami
0474534,2/28/2022,4597.82,580.56,4017.26,Miami
0717364,7/27/2022,3174.72,4777.0,-1602.28,New York
6359720,3/22/2022,1397.66,2729.81,-1332.15,New York
9546760,7/21/2022,4878.36,3844.8,1033.56,New York
8731347,2/25/2022,8425.41,3863.85,4561.56,Miami
3326638,7/22/2022,730.84,3672.96,-2942.12,New York
3247761,7/5/2022,9816.14,3844.91,5971.23,Chicago
6789462,1/17/2022,9746.07,1892.86,7853.21,New York
1013055,7/29/2022,7831.82,3675.69,4156.13,Miami
9745094,1/29/2022,4189.82,3914.36,275.46,New York
5933782,5/14/2022,1407.85,3990.8,-2582.95,Chicago
9888878,4/9/2022,966.45,1875.53,-909.08,Los Angeles
4646717,8/16/2022,6805.29,49.24,6756.05,New York
8694081,12/10/2022,9276.07,4131.35,5144.72,New York
1479817,7/24/2022,444.93,4682.53,-4237.6,New York
0249053,10/8/2022,1274.47,506.72,767.75,New York
2871075,6/12/2022,6943.89,4968.25,1975.64,New York
0192552,11/20/2022,6297.13,2720.13,3577.0,New York
0759183,6/26/2022,1755.65,899.96,855.69,New York
8633889,11/24/2022,579.32,2231.31,-1651.99,Miami
1384811,12/3/2022,4930.37,4846.78,83.59,New York
2103194,11/17/2022,1677.8,111.8,1566.0,Chicago
5879311,8/17/2022,1245.53,2509.23,-1263.7,Chicago
6479028,3/25/2022,9628.57,2336.02,7292.55,New York
1707697,9/20/2022,133.25,3498.97,-3365.72,Los Angeles
7972802,4/18/2022,9615.06,1131.17,8483.89,Chicago
1391834,8/8/2022,1419.38,1811.73,-392.35,Los Angeles
7351201,8/20/2022,3253.97,2054.64,1199.33,New York
0987834,12/16/2022,7394.45,1095.92,6298.53,Chicago
7503474,12/30/2022,9015.34,1678.69,7336.65,Chicago
1447256,10/23/2022,804.43,1021.52,-217.09,New York
5735974,4/11/2022,5432.26,81.3,5350.96,Los Angeles
3460962,11/25/2022,1690.0,2624.21,-934.21,New York
3450685,1/28/2022,4017.59,4099.52,-81.93,New York
7626051,3/5/2022,1368.19,3734.87,-2366.68,Los Angeles
8704667,1/9/2022,8248.52,399.7,7848.82,New York
9356330,5/29/2022,4758.82,3998.3,760.52,Los Angeles
7301356,3/21/2022,8301.53,4257.2,4044.33,New York
0001064,7/28/2022,2656.45,89.67,2566.78,Los Angeles
4084043,1/21/2022,9246.24,1957.33,7288.91,Chicago
2929164,3/17/2022,7555.34,2406.71,5148.63,Miami
