transaction_id,date,total_sales,total_expenses,profit,location
2530538,11/27/2022,4705.88,1241.83,3464.05,New York
1648522,11/30/2022,3144.54,3564.07,-419.53,New York
8130261,12/7/2022,644.07,723.38,-79.31,Chicago
2894884,6/7/2022,7068.2,2807.35,4260.85,Los Angeles
2296272,12/27/2022,2223.94,4534.63,-2310.69,Miami
8829486,7/22/2022,3582.46,3087.52,494.94,New York
8569303,2/28/2022,3920.4,732.24,3188.16,Los Angeles
0867222,9/9/2022,2166.23,1321.25,844.98,Chicago
2075279,5/23/2022,1671.48,4739.59,-3068.11,New York
5660418,9/28/2022,7797.95,1077.94,6720.01,Miami
7257988,9/19/2022,3851.71,3742.85,108.86,Chicago
9634615,5/23/2022,4002.29,1945.16,2057.13,Miami
9208508,4/6/2022,1219.88,4818.42,-3598.54,Los Angeles
8904529,2/3/2022,9375.68,2240.68,7135.0,New York
6550639,7/25/2022,3263.64,816.94,2446.7,Miami
4642485,1/25/2022,9022.37,402.59,8619.78,Los Angeles
9323218,5/12/2022,4820.25,4157.43,662.82,Miami
9298141,1/27/2022,5562.7,3593.66,1969.04,Miami
1513930,1/6/2022,5921.67,2235.78,3685.89,Chicago
3792706,3/20/2022,9955.42,4028.13,5927.29,New York
7491931,6/21/2022,9549.78,2262.01,7287.77,Miami
4643436,10/2/2022,6059.27,220.68,5838.59,Miami
2851319,9/30/2022,272.7,2275.21,-2002.51,New York
4984705,8/12/2022,7622.67,2991.43,4631.24,Los Angeles
6774880,9/5/2022,2435.79,3636.22,-1200.43,Los Angeles
6014948,3/11/2022,8499.18,1580.83,6918.35,New York
9934155,8/26/2022,1546.74,4934.31,-3387.57,Chicago
3889059,12/16/2022,2563.92,4487.09,-1923.17,Chicago
9532018,4/2/2022,5756.5,2554.23,3202.27,Chicago
5412953,4/6/2022,7316.9,3191.93,4124.97,New York
7886076,9/13/2022,3006.28,3955.02,-948.74,Miami
8998051,4/28/2022,8676.07,2023.37,6652.7,Chicago
7557597,10/3/2022,6235.98,1874.24,4361.74,Chicago
3150021,9/9/2022,9453.6,4439.67,5013.93,Miami
4956481,7/16/2022,2903.29,4915.6,-2012.31,Los Angeles
3169086,7/18/2022,3699.41,2504.1,1195.31,Miami
5860806,10/4/2022,120.13,2402.57,-2282.44,Miami
1812059,10/9/2022,4433.14,4523.36,-90.22,Los Angeles
4041145,4/21/2022,842.96,2351.65,-1508.69,Chicago
4597570,1/30/2022,6616.83,1841.94,4774.89,Chicago
2512125,6/19/2022,2030.7,958.86,1071.84,Chicago
3269018,1/20/2022,3273.83,832.63,2441.2,Los Angeles
4010380,6/13/2022,6402.66,2577.05,3825.61,New York
6843166,3/16/2022,8317.28,3226.23,5091.05,Chicago
8162281,10/31/2022,214.77,1638.87,-1424.1,New York
3067405,9/11/2022,6807.69,2521.21,4286.48,Chicago
9187919,11/2/2022,9890.34,3566.3,6324.04,Chicago
1469465,7/30/2022,1086.64,2606.91,-1520.27,Chicago
1979909,2/6/2022,2608.09,4435.52,-1827.43,Miami
8522783,2/7/2022,3704.47,1129.04,2575.43,Los Angeles
4336746,5/23/2022,8675.88,2490.48,6185.4,Los Angeles
2710578,7/31/2022,2066.81,27.0,2039.81,Los Angeles
3458780,7/30/2022,3492.69,4484.6,-991.91,Miami
9551937,2/17/2022,3841.68,4125.03,-283.35,New York
3466587,6/3/2022,9528.54,1337.27,8191.27,New York
3080929,6/24/2022,8138.77,1053.84,7084.93,Los Angeles
1632378,10/12/2022,5346.76,2369.85,2976.91,Los Angeles
4570786,7/5/2022,2778.71,2864.75,-86.04,Los Angeles
7823192,7/5/2022,5791.51,1167.46,4624.05,Miami
7819128,4/3/2022,6701.68,975.61,5726.07,Miami
4323415,7/22/2022,6932.45,141.63,6790.82,Los Angeles
4083307,5/29/2022,837.22,1221.49,-384.27,New York
